NO,개설대학,개설학과,개설전공,"교양영역구분",학정번호,과목명,외국인전용,원격100%,원격50%,사전녹화100%,재직자전형,집중이수제,외국어강의,외국어강의비율(%),신입생 및 1학년 분반,이수구분,인증/연계,주야,학점,시수,담당교수,요일1-일,요일1-시간,요일1-강의실,요일2-일,요일2-시간,요일2-강의실,요일3-일,요일3-시간,요일3-강의실,"비고(1학년은 신입생 및 1학년 분반 정보 참고하여 수강)"
412 ,공통,공통,공통,수리와자연(수학),0000-2-4970-01,공학수학2,,,,,,,,0 ,,교선,,주,3 ,3 ,금교은,화,4 ,비409,목,3 ,비409,,,,전정대 2학년
413 ,공통,공통,공통,수리와자연(수학),0000-2-4970-02,공학수학2,,,,,,,,0 ,,교선,,주,3 ,3 ,박주희,금,"1,2",비402,,,,,,,전정대 2학년
414 ,공통,공통,공통,수리와자연(수학),0000-2-4970-03,공학수학2,,,,,,,,0 ,,교선,,주,3 ,3 ,안소영,금,"3,4",참202,,,,,,,전정대 2학년
415 ,공통,공통,공통,수리와자연(수학),0000-2-4970-04,공학수학2,,,,,,,,0 ,,교선,,주,3 ,3 ,윤미,화,6 ,비420,목,5 ,비420,,,,전정대 2학년
416 ,공통,공통,공통,수리와자연(수학),0000-2-4970-05,공학수학2,,,,,,,,,,교선,,주,3 ,3 ,,월,5 ,비402,수,6 ,비402,,,,전정대 2학년
417 ,공통,공통,공통,수리와자연(수학),0000-2-4970-07,공학수학2,,,,,,,,0 ,,교선,,주,3 ,3 ,이재승,화,4 ,비619,목,3 ,비619,,,,전자공학과 2학년
418 ,공통,공통,공통,수리와자연(수학),0000-2-4970-08,공학수학2,,,Y,,,,,0 ,,교선,,주,3 ,3 ,지정주,화,4 ,참B105,목,3 ,,,,,전자공학과 2학년
419 ,공통,공통,공통,수리와자연(수학),0000-2-4970-09,공학수학2,,,,,,,,0 ,,교선,,주,3 ,3 ,장주용,월,3 ,비618,수,4 ,비618,,,,전자통신공학과 2학년
420 ,공통,공통,공통,수리와자연(수학),0000-2-4970-10,공학수학2,,Y,,Y,,,,,,교선,,주,3 ,3 ,김정현,토,62 ,,,,,,,,전자융합공학과 2학년
421 ,공통,공통,공통,수리와자연(수학),0000-2-4970-11,공학수학2,,,,,,,,,,교선,,주,3 ,3 ,김애란,금,"5,6",비211,,,,,,,전기공학과 2학년
422 ,공통,공통,공통,수리와자연(수학),0000-2-4970-12,공학수학2,,,,,,,영어,100 ,,교선,,주,3 ,3 ,돌지,월,3 ,비402,수,4 ,비402,,,,반도체시스템공학부 2학년
423 ,공통,공통,공통,수리와자연(수학),0000-2-4970-13,공학수학2,,,,,,,,0 ,,교선,,주,3 ,3 ,신안숙,금,"1,2",비427,,,,,,,인융대 2학년
424 ,공통,공통,공통,수리와자연(수학),0000-2-4970-15,공학수학2,,,,,,,,,,교선,,주,3 ,3 ,이진석,화,3 ,비519,목,4 ,비519,,,,화학공학과 2학년
425 ,공통,공통,공통,과학과기술,0000-2-5031-01,머신러닝기초,,,,,,,,0 ,,교선,,주,3 ,3 ,서영호,화,4 ,비419,목,3 ,비513,,,,전자재료2학년
